SLIT_ID,VB_ID,IFU_FIBER_ID,ROW,COLUMN,X_arcsec,Y_arcsec
203.0,7.0,101,6,5,1.4167133824,5.7255789688
204.0,7.0,82,5,7,2.8334267648,3.2717594107
205.0,7.0,65,4,6,4.2501401471,4.0896992634
207.0,7.0,47,3,7,5.6668535295,3.2717594107
208.0,7.0,29,2,7,7.0835669119,2.453819558
209.0,7.0,28,2,8,7.0835669119,0.8179398527
210.0,7.0,27,2,9,7.0835669119,-0.8179398527
211.0,7.0,26,2,10,7.0835669119,-2.453819558
212.0,7.0,25,2,11,7.0835669119,-4.0896992634
214.0,7.0,42,3,12,5.6668535295,-4.9076391161
215.0,7.0,59,4,12,4.2501401471,-5.7255789688
216.0,7.0,77,5,12,2.8334267648,-4.9076391161
217.0,7.0,93,6,13,1.4167133824,-7.3614586741
218.0,7.0,110,7,14,0.0,-8.1793985268
219.0,7.0,111,7,13,0.0,-6.5435188215
222.0,8.0,100,6,6,1.4167133824,4.0896992634
223.0,8.0,83,5,6,2.8334267648,4.9076391161
224.0,8.0,64,4,7,4.2501401471,2.453819558
225.0,8.0,46,3,8,5.6668535295,1.6358797054
226.0,8.0,45,3,9,5.6668535295,0.0
227.0,8.0,44,3,10,5.6668535295,-1.6358797054
229.0,8.0,43,3,11,5.6668535295,-3.2717594107
230.0,8.0,60,4,11,4.2501401471,-4.0896992634
231.0,8.0,76,5,13,2.8334267648,-6.5435188215
232.0,8.0,94,6,12,1.4167133824,-5.7255789688
233.0,8.0,112,7,12,0.0,-4.9076391161
234.0,8.0,95,6,11,1.4167133824,-4.0896992634
235.0,8.0,79,5,10,2.8334267648,-1.6358797054
237.0,8.0,61,4,10,4.2501401471,-2.453819558
238.0,8.0,62,4,9,4.2501401471,-0.8179398527
239.0,8.0,63,4,8,4.2501401471,0.8179398527
240.0,8.0,80,5,9,2.8334267648,0.0
241.0,8.0,99,6,7,1.4167133824,2.453819558
242.0,8.0,81,5,8,2.8334267648,1.6358797054
244.0,8.0,78,5,11,2.8334267648,-3.2717594107
245.0,8.0,96,6,10,1.4167133824,-2.453819558
246.0,8.0,113,7,11,0.0,-3.2717594107
247.0,8.0,114,7,10,0.0,-1.6358797054
248.0,8.0,97,6,9,1.4167133824,-0.8179398527
249.0,8.0,98,6,8,1.4167133824,0.8179398527
